20768 TRCID	CASRN	Nist-Mod
8305	5809541	1 1 1 2 1 7 2 78 1 79
25432	355931	1 1 1 2 1 7 3 75 1 77 1 146
16611	0	1 1 1 2 1 7 4 78 1 202
25481	21758189	1 1 1 2 1 7 4 9 1 10 1 11
1658	16192044	1 1 1 2 1 7 4 9 1 11 1 122
2130	2039932	1 1 1 2 1 7 5 9 1 10
17111	0	1 1 1 2 1 7 5 9 1 10 1 25
24943	10595069	1 1 1 2 1 7 5 9 1 10 1 25 1 77
5324	6683518	1 1 1 2 1 7 5 9 1 12
17122	0	1 1 1 2 1 7 5 9 1 122
24022	421078	1 1 1 2 1 74
8289	406586	1 1 1 2 1 74 1 75
24029	383631	1 1 1 2 1 74 1 77
15526	89109682	1 1 1 2 1 74 11 75
14867	38436178	1 1 1 2 1 74 3 75
10998	80793175	1 1 1 2 1 74 5 75
27435	3108245	1 1 1 2 1 74 6 75 1 77
17269	0	1 1 1 2 1 77 1 101
27324	454319	1 1 1 2 1 77 1 146
26728	137394537	1 1 1 2 1 77 1 86 3 87 2 201
21176	4606079	1 1 1 2 1 77 2 78 1 79
266	10138326	1 1 1 2 1 77 2 78 3 79 1 201
1461	14924539	1 1 1 2 1 77 3 78 1 79
13508	5453850	1 1 1 2 1 77 4 78 1 79
2978	3289289	1 1 1 2 1 77 5 78 1 79
14560	22516127	1 1 1 2 1 78 1 201 1 202
1312	14035815	1 1 1 2 1 78 1 79 1 121
31021	105293	1 1 1 2 1 8 1 14 1 65
8986	40605423	1 1 1 2 1 8 1 14 1 69
19069	0	1 1 1 2 1 8 1 14 1 69
22746	29494982	1 1 1 2 1 8 1 18 1 82
27422	0	1 1 1 2 1 8 1 22 1 74 1 82
18764	54201068	1 1 1 2 1 8 1 63 1 69
19087	1522436	1 1 1 2 1 8 1 74 1 77 1 82
22072	0	1 1 1 2 1 8 1 77 1 82 1 146
22291	93436341	1 1 1 2 1 8 10 9 1 10 1 12
11412	1726143	1 1 1 2 1 8 10 9 2 10
14514	20218422	1 1 1 2 1 8 10 9 2 10
19041	0	1 1 1 2 1 8 13 9 1 10 2 11 1 12 1 13
18706	20629394	1 1 1 2 1 8 2 64
19078	27835058	1 1 1 2 1 8 4 9 1 10 1 11 1 77 1 82
19075	27835025	1 1 1 2 1 8 4 9 1 10 1 53 1 77 1 82
19074	0	1 1 1 2 1 8 4 9 1 10 1 57 1 77 1 82
19076	0	1 1 1 2 1 8 4 9 2 10 1 24 1 77 1 82
19079	0	1 1 1 2 1 8 4 9 2 10 1 24 1 77 1 82
22532	20883163	1 1 1 2 1 8 5 9 1 10 1 21
19077	1522334	1 1 1 2 1 8 5 9 1 10 1 77 1 82
25166	1795013	1 1 1 2 1 9 1 10 1 104
26118	67363955	1 1 1 2 1 9 1 10 1 159
25148	1551162	1 1 1 2 1 9 1 10 1 196
22798	37784637	1 1 1 2 1 9 1 10 1 22 1 104
978	1187582	1 1 1 2 1 92
30312	6281943	1 1 1 2 1 94
1522	1530036	1 1 1 2 10 9 1 10 1 13
10672	160731884	1 1 1 2 10 9 1 10 1 13 1 19 1 78 1 302
19835	58731	1 1 1 2 10 9 1 10 1 13 1 25 1 34
22269	74421264	1 1 1 2 10 9 1 10 1 14 1 195
4632	603521	1 1 1 2 10 9 1 10 1 77 1 307
27049	93879404	1 1 1 2 10 9 1 10 1 87 1 125 1 195
11932	5223596	1 1 1 2 10 9 1 12 1 13
12635	1520441	1 1 1 2 10 9 1 12 1 13
14058	108774249	1 1 1 2 10 9 2 13 1 14
29776	13228392	1 1 1 2 10 9 3 10 1 307
14090	112656049	1 1 1 2 13 9 4 10 1 12
14092	112689835	1 1 1 2 13 9 4 10 1 12
7487	1516809	1 1 1 2 15 9 3 10 1 176
12452	96919970	1 1 1 2 2 25 1 35 3 78 1 135 1 176
21547	63331022	1 1 1 2 2 25 1 35 3 78 1 135 1 176
11820	40159077	1 1 1 2 2 25 1 41 1 80
15065	5702294	1 1 1 2 2 25 1 78 1 79
12565	2568969	1 1 1 2 2 25 1 79
14449	1838740	1 1 1 2 2 3 2 5 1 81
5171	632053	1 1 1 2 2 3 3 64
12799	38585794	1 1 1 2 2 45 1 64
22223	111284	1 1 1 2 2 6 1 14
8933	1516172	1 1 1 2 2 6 1 21
30881	57006696	1 1 1 2 2 6 1 21
8992	41635772	1 1 1 2 2 6 5 9 1 10
14545	21867641	1 1 1 2 2 78 1 188 1 190
10032	19381807	1 1 1 2 2 78 1 201 1 202
10040	19841748	1 1 1 2 2 78 1 201 1 202
10102	40085107	1 1 1 2 2 78 1 201 1 202
992	1191964	1 1 1 2 2 78 1 79
5434	695067	1 1 1 2 2 78 1 79 1 126
5429	694359	1 1 1 2 2 78 1 79 1 201
11784	3742389	1 1 1 2 2 78 1 79 1 201
30685	15403891	1 1 1 2 2 78 3 79 1 201
2923	31703089	1 1 1 2 2 86 1 202
10123	49786029	1 1 1 2 2 86 1 202
2995	33245395	1 1 1 2 2 9 1 10 1 44 2 57 1 74 1 155
2616	26399360	1 1 1 2 2 9 1 10 2 57 1 74 2 78 1 79 1 155
17011	0	1 1 1 2 2 9 1 10 3 12 3 78 1 202
6097	872559	1 1 1 2 2 9 1 105
11448	18113810	1 1 1 2 2 9 1 11 1 38
11536	2150187	1 1 1 2 2 9 1 11 1 38
15605	92299020	1 1 1 2 2 9 1 11 3 12 2 78
860	1122812	1 1 1 2 2 9 1 12 1 37
11897	4673318	1 1 1 2 2 9 1 12 1 37
2935	3208160	1 1 1 2 2 9 1 160
30604	5333835	1 1 1 2 2 9 1 19 1 105
7844	1551060	1 1 1 2 2 9 1 197
