   13  501 1051  118 BENZENE ACETONE Mueller E., Stage H. (1961) Dargestellt am Beispiel des Siedeverhaltens von Fettsäuren, 1-117, 1961 
  298.15   .02469   .26100   .59920
  298.15   .02841   .35500   .69100
  298.15   .03208   .45760   .76470
  298.15   .03593   .57270   .82790
  298.15   .03836   .65300   .86220
  298.15   .04099   .74210   .89850
  298.15   .04371   .84420   .93590
  298.15   .04523   .89440   .95660
  298.15   .04818  1.00000  1.00000
   19 1938  104  175 CARBON CYCLOPENTANE BERNATOVA S.,BOUBLIK T. COLL.CZECH.CHEM.COMMUN.41,1642(1976).
  288.15   .02813   .00000   .00000
  288.15   .02878   .03650   .05850
  288.15   .02886   .04250   .06600
  288.15   .02933   .07410   .10950
  288.15   .03054   .15840   .21700
  288.15   .03189   .28360   .35220
  288.15   .03221   .30540   .37380
  288.15   .03270   .36500   .42920
  288.15   .03288   .38200   .44500
  288.15   .03355   .49160   .53720
  288.15   .03394   .58180   .60890
  288.15   .03399   .59190   .61660
  288.15   .03408   .70440   .70520
  288.15   .03408   .76270   .75250
  288.15   .03398   .81300   .79620
  288.15   .03388   .83770   .81880
  288.15   .03366   .88380   .86340
  288.15   .03271   .97900   .97150
  288.15   .03251  1.00000  1.00000
   14 1938 1501  450 CARBON TETRACHLOROMETHANE HLAVATY K. COLLECT.CZECH.CHEM.COMMUN. 35,2878(1970).
  298.15   .01648   .03180   .10490
  298.15   .02162   .14990   .40010
  298.15   .02458   .22360   .51530
  298.15   .02705   .28790   .59540
  298.15   .02951   .35640   .65930
  298.15   .03200   .42850   .72000
  298.15   .03342   .47250   .74540
  298.15   .03588   .55090   .79280
  298.15   .03749   .60410   .82160
  298.15   .03788   .61820   .82830
  298.15   .03984   .68670   .86200
  298.15   .04240   .78060   .90450
  298.15   .04482   .87310   .94400
  298.15   .04724   .96260   .98380
   12 1864  507  274 HEXAFLUOROBENZENE P-XYLENE GAW W.J.,SWINTON F.L. TRANS.FARADAY SOC.64,2023(1968).
  313.15   .00265   .00000   .00000
  313.15   .00384   .09580   .37540
  313.15   .00492   .18080   .55580
  313.15   .00606   .26310   .67800
  313.15   .00756   .35600   .77980
  313.15   .00923   .44400   .85060
  313.15   .01184   .56250   .91580
  313.15   .01400   .65040   .94760
  313.15   .01639   .74410   .97030
  313.15   .01848   .82760   .98390
  313.15   .02045   .90900   .99290
  313.15   .02245  1.00000  1.00000
   12 1864  137  183 HEXAFLUOROBENZENE CYCLOHEXANE GAW W.J.,SWINTON F.L. TRANS.FARADAY SOC.64,637(1968).
  303.15   .01625   .00000   .00000
  303.15   .01907   .08970   .21030
  303.15   .02032   .18190   .30490
  303.15   .02086   .27230   .36020
  303.15   .02111   .36540   .40210
  303.15   .02114   .45430   .43660
  303.15   .02109   .53930   .46950
  303.15   .02073   .62950   .50880
  303.15   .02008   .72060   .56000
  303.15   .01909   .80820   .63120
  303.15   .01731   .90230   .75530
  303.15   .01432  1.00000  1.00000
   28  502 1054  141 TOLUENE 4-METHYL-2-PENTANONE PENA M.D.,COLIN A.C.,COMPOSTIZO A., J.CHEM.THERMODYN.10,337(1978).
  323.15   .00945   .00000   .00000
  323.15   .00959   .03150   .04550
  323.15   .00981   .08440   .11650
  323.15   .01001   .13460   .17870
  323.15   .01017   .18230   .23470
