IdDippr	T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)
1	323.15	18.79	0.128336	0.00111	Kharris, 1978
1	323.15	24.14	0.16042	0.000893	Kharris, 1978
1	323.15	24.13	0.16042	0.000883	Kharris, 1978
1	323.15	30.7	0.192504	0.000717	Kharris, 1978
1	323.15	39.3	0.224588	0.000586	Kharris, 1978
1	323.15	44.76	0.24079042	0.000536	Kharris, 1978
1	323.15	50.93	0.256672	0.000492	Kharris, 1978
1	323.15	66.94	0.28859558	0.000412	Kharris, 1978
1	323.15	89.79	0.32084	0.000344	Kharris, 1978
1	323.15	89.82	0.32084	0.000348	Kharris, 1978
1	323.15	89.83	0.32084	0.000344	Kharris, 1978
1	323.15	89.82	0.32084	0.000344	Kharris, 1978
1	323.15	122.82	0.35308442	0.000288	Kharris, 1978
1	323.15	159.79	0.37891204	0.000246	Kharris, 1978
1	353.8	6.8465364	0.03933	0.004256293	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	353.8	8.6598688	0.05025	0.003315423	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	353.8	11.583264	0.06803	0.002385712	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	353.8	14.7410824	0.08713	0.001891427	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	353.8	18.202272	0.10737	0.001536742	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	353.8	24.1180104	0.13912	0.001167338	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	353.8	32.3986652	0.17614	0.000876008	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	353.8	41.54117	0.2079	0.000721501	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	322.5	4.8884132	0.03106	0.005006439	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	322.5	6.515586	0.04216	0.003664611	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	322.5	8.170338	0.05375	0.00287814	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	322.5	10.2663572	0.06876	0.002283304	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	322.5	12.7622748	0.08682	0.001804884	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	322.5	15.6098272	0.10712	0.001448842	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	322.5	20.51203	0.13965	0.001096312	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	5.3158908	0.03793	0.00383865	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	6.7706936	0.04944	0.002953074	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	9.5561928	0.07281	0.002053289	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	12.7278008	0.1003	0.001475573	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	16.340676	0.13076	0.001124197	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	20.822296	0.16405	0.000880829	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	28.6892628	0.2083	0.000657705	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	297	41.3412208	0.2539	0.000501772	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	0.7722176	0.00801	0.013158552	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	1.3651704	0.0148	0.007101351	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	2.0891244	0.02406	0.004268495	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	2.8889212	0.03618	0.002871752	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	3.826614	0.05499	0.001922168	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	4.4402512	0.07263	0.001475974	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	7.5911748	0.2485	0.000399195	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	197.7	13.7275468	0.2967	0.000297944	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	1.585804	0.01833	0.005597381	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	1.930544	0.02318	0.004253667	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	2.309758	0.02892	0.00340249	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	2.688972	0.03542	0.002795031	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	3.137134	0.04448	0.002302158	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	3.6680336	0.05808	0.001823347	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	4.102406	0.07422	0.001417408	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	4.30925	0.08578	0.001254372	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	5.9088436	0.258	0.000348837	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	190.9	27.23446	0.3463	0.000205313	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	187.1	1.7305948	0.02097	0.004687649	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	187.1	2.4062852	0.03182	0.003086109	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	187.1	3.0888704	0.04611	0.002246801	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	187.1	3.6956128	0.0655	0.001581679	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	187.1	9.514824	0.3017	0.00027345	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	187.1	31.233444	0.3584	0.000183036	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	2.2201256	0.01844	0.006941432	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	3.1095548	0.02571	0.005036951	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	4.1230904	0.03524	0.003635074	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	5.0400988	0.04451	0.002940912	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	6.3983744	0.05929	0.002228032	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	7.687702	0.07461	0.001782603	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	9.9767756	0.10416	0.001264401	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	12.5209568	0.13788	0.000951552	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	15.651196	0.1744	0.000731651	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	21.37388	0.221	0.000544796	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	29.99238	0.2622	0.000419146	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	256.7	40.920638	0.2939	0.000361347	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	1.9236492	0.01848	0.006271645	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	2.6476032	0.02651	0.004296492	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	3.5232428	0.03726	0.003132045	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	4.4540408	0.05043	0.002337894	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	5.5365244	0.06872	0.001715658	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	6.4880068	0.08827	0.001361731	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	7.6394384	0.11698	0.001034365	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	8.9908192	0.16121	0.00074375	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	11.859056	0.2129	0.00052372	Dawson, R.et al. Aiche Journal, Vol 16, 1970
