1974 Chem_Info_ChemID	Min_T	Min_Val	Max_T	Max_Val	Avg_Dev	Num_Coeffs	A	B	C	D	E	Max_Dev	Max_Dev_T	Value
30	152.1999969	0.000045703	561.7000122	2531700	0.200000003	5	98.617	-7798.3	-11.454	8.0052E-06	2	0.699999988	398	HEPTANE, 4-METHYL-
31	272.0400085	552.96	565.5	2606800	0.100000001	5	97.343	-7743.2	-11.264	7.8528E-06	2	0.600000024	315	HEXANE, 3-ETHYL-
32	151.9700012	0.00021523	549.7999878	2523400	0.100000001	5	94.157	-7331.6	-10.857	8.0124E-06	2	0.600000024	393	HEXANE, 2,2-DIMETHYL-
33	272.0400085	669.65	563.5	2631000	0.200000003	5	94.189	-7512.7	-10.816	7.6731E-06	2	0.600000024	534	HEXANE, 2,3-DIMETHYL-
34	272.0400085	896.26	553.5	2545600	0.100000001	5	134.5	-8341.1	-18.225	0.01885	1	0.600000024	382	HEXANE, 2,4-DIMETHYL-
35	182	0.068372	550	2473900	0.300000012	5	97.056	-7517.2	-11.282	8.3354E-06	2	1	398	HEXANE, 2,5-DIMETHYL-
36	147.0500031	0.000047364	562	2650200	0.100000001	5	92.555	-7307.5	-10.617	7.7867E-06	2	0.200000003	279	HEXANE, 3,3-DIMETHYL-
37	272.0400085	613.14	568.7999878	2688500	0.100000001	5	93.8	-7525.9	-10.752	7.5458E-06	2	0.5	523	HEXANE, 3,4-DIMETHYL-
38	158.1999969	0.00044743	567.0999756	2692400	0.100000001	5	92.154	-7404.5	-10.515	7.3988E-06	2	0.400000006	283	PENTANE, 3-ETHYL-2-METHYL-
39	182.2799988	0.062526	576.5	2798000	0.100000001	5	86.063	-7108.4	-9.6172	6.7639E-06	2	0.400000006	577	PENTANE, 3-ETHYL-3-METHYL-
40	160.8899994	0.0021759	563.5	2723300	0.100000001	5	87.68	-7038.8	-9.8896	7.1519E-06	2	0.600000024	443	PENTANE, 2,2,3,TRIMETHYL-
41	165.7799988	0.017079	543.7999878	2549600	0.5	5	84.912	-6722.2	-9.5157	7.2244E-06	2	4.699999809	297	PENTANE, 2,2,4-TRIMETHYL-
42	172.2200012	0.01682	573.5	2811600	0.100000001	5	83.105	-6903.7	-9.1858	6.4703E-06	2	0.600000024	443	PENTANE, 2,3,3-TRIMETHYL-
43	163.9499969	0.0030343	566.4000244	2718400	0.200000003	5	83.53	-6960.9	-9.2248	6.4027E-06	2	1.799999952	232	PENTANE, 2,3,4-TRIMETHYL-
44	373.9599915	86930	568	2871000	0.300000012	5	57.963	-5901.5	-5.2048	9.1301E-18	6	1.5	382	BUTANE, 2,2,3,3-TETRAMETHYL-
46	219.6600037	0.43058	594.5999756	2305400	0.300000012	5	109.35	-9030.4	-12.882	7.8544E-06	2	1.100000024	311	NONANE
47	167.3899994	0.00096863	569.7999878	2342300	0.5	5	139.38	-8817.3	-18.903	0.018789	1	1.899999976	206	HEXANE, 2,2,5-TRIMETHYL-
48	165	0.000015196	609.5	2318000	0.5	5	120.67	-9426.1	-14.668	9.4541E-06	2	2.200000048	334	HEPTANE, 3,3,5-TRIMETHYL-
49	159.7799988	0.00030683	581	2460500	0.100000001	5	65.151	-6689.2	-6.1838	1.1348E-17	6	0.300000012	300	HEXANE,2,4,4-TRIMETHYL-
50	240.1199951	13.792	610.0499878	2674400	0.100000001	5	62.661	-6792.1	-5.793	8.2558E-18	6	0.300000012	304	PENTANE, 3,3-DIETHYL-
51	263.2600098	133.84	607.5	2741300	0.100000001	5	62.855	-6687.7	-5.8419	8.3613E-18	6	0.300000012	307	PENTANE, 2,2,3,3,-TETRAMETHYL-
52	152.0599976	0.000053591	592.5999756	2599300	0.100000001	5	62.907	-6581.6	-5.8632	9.3233E-18	6	0.400000006	301	PENTANE, 2,2,3,4-TETRAMETHYL-
53	206.9499969	1.8395	574.5999756	2491100	0.100000001	5	62.641	-6369	-5.8616	1.1507E-17	6	0.300000012	300	PENTANE, 2,2,4,4-TETRAMETHYL-
54	171.0299988	0.00089642	607.5	2717100	0	5	123.25	-8476.5	-16.212	0.015517	1	0.100000001	608	PENTANE, 2,3,3,4-TETRAMETHYL-
55	235.1499939	1.7007E-12	863	867310	4.199999809	5	195.72	-22404	-23.359	4.4305E-18	6	9.399999619	532	TETRACOSANE, 2,6,10,15,19,23-HEXAMETHYL-
56	243.5099945	1.393	617.7000122	2090800	0.600000024	5	112.73	-9749.6	-13.245	7.1266E-06	2	2.700000048	293	DECANE
57	219.1499939	0.62301	623	2509200	0.400000006	5	64.908	-7136.6	-6.0888	7.8905E-18	6	1.799999952	337	HEXANE, 2,2,3,3-TETRAMETHYL-
58	260.5499878	90.426	581.4000244	2189000	0.400000006	5	89.478	-7839.3	-9.9327	5.4151E-06	2	2.400000095	408	HEXANE, 2,2,5,5-TETRAMETHYL-
