44	1479	1921	VLE	THF + water
323.127	0.024950	0.3615	-86	1958 mcg ras 0
323.127	0.029820	0.475	-86	1958 mcg ras 0
323.127	0.034800	0.5555	-86	1958 mcg ras 0
323.127	0.042100	0.6718	-86	1958 mcg ras 0
323.127	0.060380	0.878	-86	1958 mcg ras 0
323.127	0.065390	0.9398	-86	1958 mcg ras 0
323.137	0.016183	0.0282	-86	1983 gon van 2
323.137	0.016770	0.0614	-86	1983 gon van 2
323.137	0.017514	0.1006	-86	1983 gon van 2
323.137	0.018575	0.1507	-86	1983 gon van 2
323.137	0.021117	0.2506	-86	1983 gon van 2
323.137	0.022622	0.3001	-86	1983 gon van 2
323.137	0.024603	0.3558	-86	1983 gon van 2
323.137	0.026365	0.3994	-86	1983 gon van 2
323.137	0.028686	0.4497	-86	1983 gon van 2
323.137	0.031325	0.5001	-86	1983 gon van 2
323.137	0.034244	0.5491	-86	1983 gon van 2
323.137	0.037525	0.5988	-86	1983 gon van 2
323.137	0.041170	0.6488	-86	1983 gon van 2
323.137	0.045092	0.6987	-86	1983 gon van 2
323.137	0.049262	0.7491	-86	1983 gon van 2
323.137	0.053486	0.7985	-86	1983 gon van 2
323.137	0.057676	0.848	-86	1983 gon van 2
323.137	0.061637	0.8959	-86	1983 gon van 2
323.137	0.065646	0.9474	-86	1983 gon van 2
323.137	0.067910	0.9789	-86	1983 gon van 2
12	1291	1104	123626	67630
313.15	0.013650	0.0526	-86	1994 wil wil 1
313.15	0.013492	0.1073	-86	1994 wil wil 1
313.15	0.013155	0.2060	-86	1994 wil wil 1
313.15	0.012823	0.2991	-86	1994 wil wil 1
313.15	0.012373	0.4055	-86	1994 wil wil 1
313.15	0.011911	0.4965	-86	1994 wil wil 1
313.15	0.011557	0.5527	-86	1994 wil wil 1
313.15	0.011163	0.5962	-86	1994 wil wil 1
313.15	0.010585	0.6660	-86	1994 wil wil 1
313.15	0.008814	0.7875	-86	1994 wil wil 1
313.15	0.006243	0.8940	-86	1994 wil wil 1
313.15	0.004457	0.9446	-86	1994 wil wil 1
11	502	1101	VLE	toluene + methanol
336.734	0.10132	0.1	-86	1975 bud les 2
336.934	0.10132	0.2	-86	1975 bud les 2
336.934	0.10132	0.05	-86	1975 bud les 2
337.184	0.10132	0.3	-86	1975 bud les 2
337.583	0.10132	0.4	-86	1975 bud les 2
338.033	0.10132	0.5	-86	1975 bud les 2
338.533	0.10132	0.6	-86	1975 bud les 2
339.183	0.10132	0.7	-86	1975 bud les 2
340.383	0.10132	0.8	-86	1975 bud les 2
344.932	0.10132	0.9	-86	1975 bud les 2
355.128	0.10132	0.95	-86	1975 bud les 2
12	9855	909	VLE	1-ethyl-2-pyrrolidinone + carbon dioxide
313.15	8.37	0.02	-86	2004 lee jun 0
313.15	8.5	0.04	-86	2004 lee jun 0
313.15	8.35	0.075	-86	2004 lee jun 0
313.15	8.14	0.103	-86	2004 lee jun 0
313.15	7.96	0.166	-86	2004 lee jun 0
313.15	7.24	0.245	-86	2004 lee jun 0
313.15	5.98	0.357	-86	2004 lee jun 0
313.15	5.18	0.451	-86	2004 lee jun 0
313.15	3.69	0.568	-86	2004 lee jun 0
313.15	3.4	0.585	-86	2004 lee jun 0
313.15	2.62	0.654	-86	2004 lee jun 0
313.15	1.72	0.761	-86	2004 lee jun 0
14	2900	909	VLE	N-formylmorpholine + carbon dioxide
298.144	0.000452	0.9999296	-86	1989 jou des 0
298.144	0.00456	0.999337	-86	1989 jou des 0
298.144	0.0455	0.99295	-86	1989 jou des 0
298.144	0.379	0.9476	-86	1989 jou des 0
298.144	1.12	0.855	-86	1989 jou des 0
298.144	2.95	0.631	-86	1989 jou des 0
298.144	5.906	0.28	-86	1989 jou des 0
298.144	6.126	0.197	-86	1989 jou des 0
298.144	6.216	0.146	-86	1989 jou des 0
298.144	6.267	0.101	-86	1989 jou des 0
298.144	6.298	0.09	-86	1989 jou des 0
298.144	6.359	0.059	-86	1989 jou des 0
298.144	6.378	0.042	-86	1989 jou des 0
298.144	6.41	0.029	-86	1989 jou des 0
9	2391	1527	VLE	dimethyl carbonate + chlorotene
346.85	0.0958	0.1078	-86	2004 pra ban 0
348.35	0.0958	0.1955	-86	2004 pra ban 0
349.15	0.0958	0.2972	-86	2004 pra ban 0
350.55	0.0958	0.3991	-86	2004 pra ban 0
351.95	0.0958	0.4999	-86	2004 pra ban 0
353.35	0.0958	0.6018	-86	2004 pra ban 0
354.85	0.0958	0.7074	-86	2004 pra ban 0
356.35	0.0958	0.8012	-86	2004 pra ban 0
358.25	0.0958	0.8896	-86	2004 pra ban 0
11	1461	1523	VLE	anisole + 1,2-dichloroethane
373.15	0.0191	0.9971	-86	1992 foc bot 0
373.15	0.0245	0.9608	-86	1992 foc bot 0
373.15	0.0303	0.9193	-86	1992 foc bot 0
373.15	0.0337	0.8962	-86	1992 foc bot 0
373.15	0.041	0.8505	-86	1992 foc bot 0
373.15	0.0416	0.8483	-86	1992 foc bot 0
373.15	0.0489	0.7908	-86	1992 foc bot 0
373.15	0.0559	0.7364	-86	1992 foc bot 0
373.15	0.0628	0.6975	-86	1992 foc bot 0
373.15	0.0715	0.6346	-86	1992 foc bot 0
373.15	0.0884	0.5213	-86	1992 foc bot 0
15	1446	1521	VLE	propyl ether + chloroform
335.184	0.10132	0.0387	-86	1975 ern 0
335.944	0.10132	0.0686	-86	1975 ern 0
337.414	0.10132	0.1287	-86	1975 ern 0
338.973	0.10132	0.1876	-86	1975 ern 0
340.973	0.10132	0.2569	-86	1975 ern 0
343.082	0.10132	0.3208	-86	1975 ern 0
345.131	0.10132	0.388	-86	1975 ern 0
347.981	0.10132	0.4825	-86	1975 ern 0
349.9	0.10132	0.5226	-86	1975 ern 0
351.919	0.10132	0.6076	-86	1975 ern 0
353.779	0.10132	0.6669	-86	1975 ern 0
354.988	0.10132	0.7105	-86	1975 ern 0
355.788	0.10132	0.7177	-86	1975 ern 0
358.208	0.10132	0.7493	-86	1975 ern 0
360.537	0.10132	0.9105	-86	1975 ern 0
30	1405	1521	VLE	methyl tert-butyl ether + chloroform
313.15	0.060088	0.9969	-86	1991 mat ber 0
313.15	0.057841	0.9456	-86	1991 mat ber 0
313.15	0.055809	0.903	-86	1991 mat ber 0
313.15	0.052758	0.8341	-86	1991 mat ber 0
313.15	0.050172	0.7776	-86	1991 mat ber 0
313.15	0.047019	0.7056	-86	1991 mat ber 0
313.15	0.044709	0.6465	-86	1991 mat ber 0
313.15	0.042926	0.5897	-86	1991 mat ber 0
313.15	0.041535	0.5351	-86	1991 mat ber 0
313.15	0.040797	0.4909	-86	1991 mat ber 0
313.15	0.040431	0.4586	-86	1991 mat ber 0
313.15	0.040322	0.435	-86	1991 mat ber 0
313.15	0.04031	0.4175	-86	1991 mat ber 0
313.15	0.040346	0.4053	-86	1991 mat ber 0
313.15	0.040354	0.3994	-86	1991 mat ber 0
313.15	0.040383	0.386	-86	1991 mat ber 0
313.15	0.040467	0.3715	-86	1991 mat ber 0
313.15	0.040542	0.3588	-86	1991 mat ber 0
313.15	0.040639	0.3473	-86	1991 mat ber 0
313.15	0.040764	0.3337	-86	1991 mat ber 0
313.15	0.041017	0.3141	-86	1991 mat ber 0
313.15	0.041566	0.2808	-86	1991 mat ber 0
313.15	0.04243	0.2361	-86	1991 mat ber 0
313.15	0.043432	0.1919	-86	1991 mat ber 0
313.15	0.044291	0.1575	-86	1991 mat ber 0
313.15	0.045158	0.1246	-86	1991 mat ber 0
313.15	0.046124	0.088	-86	1991 mat ber 0
313.15	0.046907	0.0588	-86	1991 mat ber 0
313.15	0.047552	0.0343	-86	1991 mat ber 0
313.15	0.048089	0.0129	-86	1991 mat ber 0
19	1314	1772	VLE	propyl acetate + acetonitrile
373.024	0.10132	0.98	-86	1973 mat cab 0
370.825	0.10132	0.937	-86	1973 mat cab 0
368.125	0.10132	0.875	-86	1973 mat cab 0
366.826	0.10132	0.845	-86	1973 mat cab 0
364.626	0.10132	0.78	-86	1973 mat cab 0
363.426	0.10132	0.733	-86	1973 mat cab 0
362.327	0.10132	0.682	-86	1973 mat cab 0
360.727	0.10132	0.608	-86	1973 mat cab 0
359.827	0.10132	0.56	-86	1973 mat cab 0
358.727	0.10132	0.5	-86	1973 mat cab 0
357.728	0.10132	0.425	-86	1973 mat cab 0
356.928	0.10132	0.358	-86	1973 mat cab 0
356.328	0.10132	0.305	-86	1973 mat cab 0
355.928	0.10132	0.26	-86	1973 mat cab 0
355.558	0.10132	0.22	-86	1973 mat cab 0
355.128	0.10132	0.153	-86	1973 mat cab 0
354.929	0.10132	0.122	-86	1973 mat cab 0
