24227 TRCID	CASRN	Nist-Kt
311	102830	2 1 7 2 1 67 1 75
313	102863	3 1 14 2 1 75
314	102874	3 1 32 2 1 75
315	10288138	2 1 1 2 2 3 2 130
316	10289459	1 1 1 2 9 15 2 16 1 19
317	10289686	2 1 10 2 1 3 1 204
318	102965	5 15 1 23 1 137
319	10297571	3 1 6 2 1 4 1 205
320	103004	1 1 1 3 5 27 1 28 1 72 1 204
321	103059	2 1 1 2 1 4 5 15 1 19 1 205
322	103082	3 1 6 2 2 3 1 204
323	103093	2 1 5 2 1 3 1 51
324	103117	2 1 5 2 1 3 1 5 1 58
325	10312831	1 2 1 48 1 59
326	10315590	2 1 1 2 1 156
327	10315896	2 1 1 2 1 3 5 27 1 84
328	10315987	2 1 1 2 1 3 3 27 1 63 1 84
329	103173	8 15 1 19 2 109 1 151
330	103208	4 1 7 2 3 3 1 204
331	103242	4 1 15 2 2 3 2 52
332	103297	10 15 2 19
333	103300	10 15 1 16 1 23
334	103322	10 15 1 19 1 80
335	103366	1 1 1 2 5 15 1 23 1 58
336	103413	10 15 1 19 1 23 1 58
337	103457	1 2 5 15 1 19 1 51
338	103491	10 15 1 16 1 19 1 72
339	103504	10 15 1 16 1 19 1 60
340	10352871	2 1 2 2 1 6 1 58
341	10359203	1 1 1 88 2 91
342	103639	1 2 5 15 1 19 1 130
343	103651	1 1 1 2 5 15 1 19
344	103695	1 1 1 2 5 15 1 80
345	103708	5 15 1 174
346	103731	1 1 1 2 5 15 1 65
347	103753	1 1 2 27 1 28 1 30 1 60 1 64
348	103764	2 2 4 27 1 34 1 83 1 84
349	103786	1 2 5 27 1 28 1 42
350	103797	5 15 1 19 1 42
351	103800	5 15 1 16 1 43 1 110
352	103811	5 15 1 19 1 169
353	103822	5 15 1 19 1 94
354	103833	1 1 5 15 1 19 1 74
355	103844	1 1 5 15 1 176
356	103899	1 1 4 15 1 18 1 176
357	103902	1 1 4 15 1 37 1 176
358	104018	1 1 4 15 1 19 1 65 1 94
360	104198	2 1 2 2 4 27 1 74 2 84
361	10420914	1 1 1 2 1 13 1 14
362	5973115	2 1 2 2 1 3 1 130
363	10431988	1 1 1 2 2 27 1 64 1 93
364	10435673	9 15 3 16 3 32 1 64
365	104405	1 1 7 2 4 15 1 19 1 37
366	104518	1 1 2 2 5 15 1 19
367	104529	1 2 5 15 1 19 1 99
368	104530	1 2 5 15 1 19 1 48
369	10453891	4 1 1 8 2 28 1 29 1 94
370	104574	5 15 1 19 1 55
371	10458147	3 1 1 3 3 27 2 28 1 47
372	104610	1 1 4 2 2 27 1 28 1 47 1 64
374	1047161	10 15 6 16 2 47 2 80
375	104723	1 1 8 2 5 15 1 19
376	104756	2 1 4 2 1 3 1 67
377	104767	2 1 5 2 1 3 1 34
378	104814	4 15 1 18 1 19 1 130
379	10484352	2 1 15 2 1 52
380	104858	4 15 1 18 1 89
381	10486198	1 1 11 2 1 48
382	104870	4 15 1 18 1 49
384	10487964	5 15 1 16 4 27 1 29 1 205
385	104881	4 15 1 49 1 109
386	104892	2 1 1 2 3 27 2 28 1 83
388	104949	1 1 4 15 1 65 1 79
389	10500579	4 27 1 78
390	105055	2 1 4 15 2 19
391	105066	4 15 2 22
392	105135	1 1 4 15 1 19 1 34 1 65
393	105168	3 1 3 2 1 7 1 58 1 75
394	10522266	2 1 9 2 1 3 1 34
395	105306	2 1 3 2 1 3 1 34
396	105340	1 1 1 58 1 86
397	105362	1 1 1 2 1 52 1 130
398	105373	2 1 1 2 1 52
399	105384	1 1 1 5 1 52
400	10538519	2 1 3 15 1 23 2 65 1 94
401	105395	1 1 1 2 1 52 1 110
402	105408	1 1 1 60 1 166
403	105453	1 1 1 42 1 52
405	105464	2 1 1 2 1 3 1 51
406	105486	2 1 1 3 1 52 1 110
407	1055238	18 15 2 16 8 17
408	105533	2 1 2 2 1 52 1 58
409	105544	2 1 2 2 1 52
411	105566	1 1 1 2 1 58 1 86
413	105588	2 1 2 2 1 98
414	105602	4 27 1 168
415	10563016	1 5 1 10
416	105668	2 1 3 2 1 52
417	105679	3 15 2 18 1 37
418	105680	3 1 2 2 1 3 1 52
419	105704	2 2 1 3 2 51 1 204
420	105726	2 1 4 2 2 52
421	10574171	2 1 1 2 1 3 5 15 1 65
422	10574375	4 1 1 2 1 9
423	105759	2 1 6 2 1 6 2 58
424	105760	2 1 6 2 1 6 2 58
425	105873	3 1 3 2 2 8 1 51
426	10588100	3 1 3 2 1 3 1 52
427	105997	2 1 8 2 2 52
428	106183	2 1 12 2 1 52
429	106194	2 1 6 2 2 52
430	106218	3 1 5 2 2 3 1 34
431	106241	3 1 3 2 2 8 1 34
432	106252	3 1 3 2 2 8 1 34
433	106274	3 1 3 2 1 3 1 52
434	106309	2 1 5 2 1 52
435	106310	2 1 4 2 1 97
436	106321	2 1 6 2 1 52
437	106332	2 1 10 2 1 52
438	106354	2 1 3 2 1 43
439	106365	2 1 2 2 1 52
440	106376	4 15 2 131
441	106387	4 15 1 18 1 131
442	106398	4 15 1 109 1 131
443	106401	4 15 1 79 1 131
444	106412	4 15 1 37 1 131
445	106423	4 15 2 18
446	106434	4 15 1 18 1 109
447	106445	4 15 1 18 1 37
448	106467	4 15 2 109
