765 ID	TcEos 	PcEos	ZcEos 	AcenEos
1277	616.27	4.272	0.2379	0.5677
1301	500.07	7.152	0.3079	0.2265
1302	526.19	5.679	0.3083	0.2502
1303	551.31	4.869	0.3083	0.2897
1304	576.22	4.287	0.3075	0.3372
1305	555.05	4.117	0.3070	0.3773
1309	681.39	2.777	0.3030	0.5393
1312	521.29	5.729	0.3083	0.2855
1313	537.52	4.707	0.3077	0.3312
1314	564.23	4.143	0.3073	0.3627
1315	591.74	3.704	0.3068	0.3871
1316	571.26	3.616	0.3061	0.4195
1319	544.76	4.023	0.3079	0.3405
1320	562.86	3.575	0.3059	0.4224
1321	539.40	5.054	0.3088	0.2913
1322	543.50	4.815	0.3078	0.3239
1323	560.22	4.121	0.3072	0.3663
1324	582.13	3.679	0.3064	0.4040
1326	601.82	3.310	0.3049	0.4752
1327	607.73	3.367	0.3063	0.4126
1332	569.08	4.233	0.3073	0.3486
1333	595.73	3.813	0.3081	0.3197
1341	561.16	5.402	0.3090	0.2546
1342	566.14	4.498	0.3073	0.3482
1344	633.34	3.698	0.3080	0.3251
1347	596.20	3.301	0.3064	0.4087
1351	566.91	4.570	0.3077	0.3511
1357	617.59	3.428	0.3066	0.3982
1360	597.78	2.907	0.3046	0.4789
1381	808.87	3.745	0.3042	0.4928
1385	630.57	3.084	0.3055	0.4440
1386	689.10	2.583	0.3038	0.5008
1390	713.84	4.511	0.3068	0.3723
1392	592.08	4.010	0.3060	0.4264
1395	684.90	2.397	0.2993	0.6536
1401	406.98	5.896	0.3104	0.1740
1402	476.46	4.230	0.3093	0.2603
1403	506.71	3.266	0.3081	0.3310
1404	595.76	2.910	0.3061	0.4262
1405	505.62	3.870	0.3095	0.2490
1406	569.94	2.859	0.3068	0.3977
1407	445.33	5.023	0.3100	0.2188
1408	485.13	4.462	0.3093	0.2637
1419	724.09	5.248	0.3083	0.3149
1421	599.40	6.049	0.3095	0.2514
1427	534.06	3.042	0.3088	0.2979
1428	516.40	3.360	0.3084	0.3159
1430	553.81	3.168	0.3080	0.3359
1431	491.20	5.087	0.3088	0.2940
1440	531.88	5.192	0.3088	0.1493
1441	477.92	8.236	0.3036	0.1847
1442	501.26	6.305	0.3072	0.2110
1445	487.47	4.780	0.3099	0.2283
1446	540.69	3.439	0.3079	0.3395
1455	546.26	4.544	0.3078	0.3346
1459	772.33	2.441	0.3070	0.3815
1460	687.71	3.884	0.3075	0.3571
1461	659.20	4.994	0.3082	0.3227
1462	666.42	4.267	0.3072	0.3752
1465	798.60	3.907	0.3077	0.3468
1466	700.82	3.495	0.3078	0.3442
1468	517.53	4.386	0.3086	0.2998
1470	450.73	5.606	0.3106	0.1890
1471	542.25	5.466	0.3102	0.2078
1477	547.64	6.536	0.3093	0.2409
1478	498.66	6.311	0.3105	0.1968
1479	551.38	5.902	0.3101	0.1995
1480	852.39	4.454	0.3081	0.3296
1482	545.38	2.536	0.3060	0.4249
1485	721.52	4.619	0.3083	0.3157
1501	566.23	5.102	0.3110	0.1738
1502	421.50	7.097	0.3023	0.1422
1503	465.91	5.781	0.3063	0.1828
1504	427.02	6.045	0.3101	0.1722
1511	522.54	7.100	0.3101	0.1760
1521	540.70	5.956	0.3102	0.2114
1522	528.93	5.537	0.3084	0.2253
1523	579.81	6.329	0.3099	0.2190
1524	615.79	5.624	0.3094	0.2538
1527	554.39	4.863	0.3101	0.1994
1528	634.23	4.889	0.3095	0.2516
1529	653.86	5.151	0.3088	0.2908
1530	496.14	5.024	0.3107	0.1870
1534	535.50	4.477	0.3091	0.2370
1541	586.96	5.673	0.3108	0.1821
1542	630.93	5.229	0.3101	0.2162
1562	704.28	4.958	0.3085	0.3000
1571	641.76	5.277	0.3099	0.2240
1572	714.27	5.102	0.3087	0.2592
1573	707.31	5.056	0.3097	0.2351
1574	702.55	5.027	0.3093	0.2642
1580	547.33	6.288	0.3095	0.1872
1581	528.02	6.147	0.3110	0.1735
1585	510.98	5.145	0.3086	0.2123
1586	550.99	4.582	0.3096	0.2445
1587	539.25	4.469	0.3096	0.2067
1588	594.53	4.190	0.3093	0.2343
1590	684.80	4.697	0.3100	0.2227
1592	777.22	5.030	0.3101	0.2158
1599	780.72	4.832	0.3106	0.1889
1600	447.95	7.226	0.3070	0.1317
1601	390.56	4.514	0.3113	0.1621
1602	478.12	4.828	0.3111	0.1704
1604	376.51	5.672	0.3103	0.1981
1606	305.93	4.207	0.3114	0.1577
1609	425.79	3.638	0.3098	0.2326
